CAS,cluster
3648-20-2,30
27554-26-3,30
3648-21-3,30
67762-39-4,33
763-69-9,30
103-23-1,30
111-15-9,30
28553-12-0,30
53042-79-8,30
29598-76-3,30
111381-89-6,30
105-75-9,30
5405-58-3,30
123-86-4,30
41451-28-9,30
5464-71-1,30
103-24-2,30
103-33-3,7
122-66-7,7
103-50-4,34
2749-70-4,34
87-17-2,35
103-90-2,35
103055-07-8,22
116714-46-6,22
115-29-7,36
1031-07-8,36
103361-09-7,37
65277-42-1,37
87546-18-7,37
10380-28-6,38
148-24-3,38
104-40-5,39
14938-35-3,39
84852-15-3,39
25154-52-3,39
122-57-6,6
111-70-6,40
143-08-8,40
111-87-5,40
111-27-3,40
71-41-0,40
68603-15-6,40
112-30-1,40
25339-17-7,40
104-76-7,40
112-70-9,40
90-04-0,25
536-90-3,25
10402-15-0,41
3012-65-5,41
77-92-9,41
56073-10-0,21
104653-34-1,21
13446-34-9,12
104786-87-0,10
2300-66-5,10
2758-42-1,10
32351-70-5,10
2008-39-1,10
5742-17-6,10
2039-46-5,10
65733-16-6,30
10485-70-8,30
40596-69-8,30
688-84-6,30
42588-37-4,30
41096-46-2,30
105-06-6,4
2439-35-2,42
105-16-8,42
2867-47-2,42
105-37-3,30
141-78-6,30
141-97-9,30
105-60-2,43
947-04-6,43
5510-99-6,21
732-26-3,21
59-50-7,10
527-60-6,21
1879-09-0,21
128-37-0,21
108-39-4,21
96-76-4,21
2219-82-1,21
1570-64-5,10
1570-65-6,10
61788-44-1,21
108-68-9,21
88-04-0,10
88-18-6,21
118-93-4,21
89-72-5,21
88-60-8,21
105-67-9,21
108-95-2,21
1319-77-3,21
106-44-5,21
2409-55-4,21
95-48-7,21
89-83-8,21
84-74-2,30
141-32-2,30
79241-46-6,17
69806-34-4,17
69806-50-4,17
55335-06-3,10
76578-14-8,17
541-73-1,44
87-82-1,44
615-54-3,44
106-37-6,44
108-70-3,44
106-46-7,44
108-90-7,44
95-56-7,10
95-57-8,10
58-90-2,10
25167-83-3,10
95-95-4,10
591-35-5,10
108-43-0,10
87-86-5,10
118-79-6,10
935-95-5,10
615-58-7,10
106-48-9,10
1689-84-5,10
120-83-2,10
99-87-6,45
106-42-3,45
108-67-8,45
98-82-8,45
95-47-6,45
108-88-3,45
118-69-4,44
95-75-0,44
19398-61-9,44
98-87-3,44
106-43-4,44
95-49-8,44
99-71-8,21
95-65-8,21
150-76-5,21
123-31-9,21
95-87-4,21
576-26-1,21
95-50-1,44
58-89-9,44
319-84-6,44
319-85-7,44
95-94-3,44
634-66-2,44
634-90-2,44
87-61-6,44
118-74-1,44
108-86-1,44
608-73-1,44
608-93-5,44
120-82-1,44
615-36-1,7
372-19-0,7
7745-89-3,7
348-54-9,7
106-47-8,7
95-64-7,7
95-68-1,7
95-78-3,7
87-59-2,7
87-62-7,7
108-45-2,7
95-54-5,7
107-06-2,46
106-93-4,46
142-28-9,46
1461-22-9,47
688-73-3,47
56-35-9,47
1067-29-4,47
107-02-8,48
30525-89-4,48
50-00-0,48
109-64-8,46
111-40-0,49
107-15-3,49
112-24-3,49
124-09-4,49
4067-16-7,49
112-57-2,49
60-24-2,40
107-21-1,40
110-63-4,40
107-41-5,50
123-42-2,50
55-86-7,51
24307-26-4,51
999-81-5,51
57-09-0,51
6458-13-5,51
1116-76-3,51
683-10-3,51
107-64-2,51
112-00-5,51
41591-87-1,51
68424-85-1,51
111-18-2,51
63449-41-2,51
124-28-7,51
38641-94-0,52
2439-99-8,52
81591-81-3,52
1071-83-6,52
70393-85-0,52
76738-62-0,37
125116-23-6,37
125225-28-7,37
120983-64-4,37
79983-71-4,37
94361-06-5,37
107534-96-3,37
83657-17-4,37
131983-72-7,37
76674-21-0,37
1076-46-6,53
2840-28-0,53
150114-71-9,53
2545-60-0,53
1954-81-0,53
96-33-3,54
108-05-4,54
110-12-3,55
78-93-3,55
108-10-1,55
108-18-9,56
75-31-0,56
108-20-3,54
1634-04-4,54
85-44-9,57
108-31-6,57
108-38-3,45
108-42-9,7
95-80-7,7
69-72-7,21
108-46-3,21
108-57-6,4
110-49-6,30
108-65-6,30
526-73-8,45
1330-20-7,45
150-78-7,21
98-54-4,21
66215-27-8,18
504-24-5,18
108-78-1,18
91-76-9,18
1678-91-7,28
108-87-2,28
71-43-2,45
120-92-3,58
108-94-1,58
110-80-5,40
2517-43-3,40
7580-85-0,40
109-59-1,40
111-82-0,30
97-88-1,30
616-09-1,30
138-22-7,30
111-76-2,40
111-77-3,40
27306-79-2,40
9002-92-0,40
109-86-4,40
112-34-5,40
143-22-6,40
144-62-7,1
110-19-0,30
110-44-1,54
64-18-6,54
64-19-7,54
79-41-4,54
13343-98-1,40
123-72-8,59
110-62-3,59
66-25-1,59
123-15-9,59
53939-28-9,59
124-25-4,59
4457-71-0,40
111-46-6,40
110-66-7,40
111-88-6,40
143-10-2,40
3547-33-9,40
9003-13-8,40
111-78-4,3
110488-70-5,37
9016-45-9,40
11096-42-7,40
51938-25-1,40
26027-38-3,40
20427-84-3,40
2051-62-9,44
2234-13-1,44
12672-29-6,44
12674-11-2,44
11097-69-1,44
789-02-6,44
1338-41-6,60
111-03-5,60
112-80-1,40
111-14-8,40
111-17-1,61
124-04-9,61
3030-47-5,51
7173-51-5,51
5538-94-3,51
112-85-6,40
143-07-7,40
334-48-5,40
33956-49-9,40
71-36-3,40
112-05-0,40
544-63-8,40
124-07-2,40
141-43-5,2
34375-28-5,2
112-27-6,40
111-65-9,59
111-66-0,59
693-54-9,59
111-85-3,59
821-95-4,59
27519-02-4,59
45206-91-5,59
13389-42-9,59
112-12-9,59
593-08-8,59
124-11-8,59
112-41-4,59
2437-25-4,59
629-97-0,59
1120-21-4,59
124-18-5,59
592-41-6,59
629-40-3,62
111-69-3,62
333-20-0,63
1111-67-7,63
1113-02-6,20
60-51-5,20
2595-54-2,20
60018-95-3,64
111376-59-1,64
85-68-7,30
25168-26-7,30
1928-43-4,30
1928-47-8,30
53404-31-2,30
84-66-2,30
2556-42-5,65
1114-71-2,65
1929-77-7,65
759-94-4,65
2008-41-5,65
2212-67-1,65
1134-23-2,65
85785-20-2,65
11141-17-6,28
71751-41-2,28
51596-11-3,28
12001-85-3,33
20543-04-8,33
1120-44-1,33
143-18-0,33
143-19-1,33
822-12-8,33
822-16-2,33
629-25-4,33
1338-02-9,33
136-53-8,33
19766-89-3,33
22221-10-9,33
112226-61-6,66
112410-23-8,66
116255-48-2,37
112281-77-3,37
161050-58-4,66
1126-79-0,40
94-26-8,40
2687-96-9,67
113-48-4,67
2687-94-7,67
113158-40-0,17
639-58-7,68
1135-99-5,68
80214-83-1,69
114-07-8,69
22781-23-3,24
315-18-4,24
2626-83-7,24
2631-40-5,24
114-26-1,24
3766-81-2,24
2032-59-9,24
2032-65-7,24
1563-66-2,24
2686-99-9,24
68989-02-6,24
81405-85-8,70
114311-32-9,70
81510-83-0,70
81334-34-1,70
81335-37-7,70
81335-77-5,70
88671-89-0,37
114369-43-6,37
14088-71-2,71
115-32-2,71
96300-97-9,20
38638-05-0,20
115-90-2,20
3383-96-8,20
55-38-9,20
35400-43-2,20
126-72-7,20
126-73-8,20
115-96-8,20
116-06-3,72
1646-88-4,72
23135-22-0,72
16752-77-5,72
116-29-0,73
98-59-9,73
20018-09-1,73
119446-68-3,37
60207-90-1,37
3380-34-5,10
121451-02-3,22
86479-06-3,22
3691-35-8,57
117-08-8,57
117-80-6,57
58-27-5,57
84-69-5,30
16079-88-2,74
89415-87-2,74
77-48-5,74
118-52-5,74
87-83-2,44
873-32-5,44
611-19-8,44
1194-65-6,44
35693-99-3,44
37680-73-2,44
32598-13-3,44
1897-45-6,44
29082-74-4,44
53469-21-9,44
348-61-8,44
35065-27-1,44
35065-28-2,44
35065-29-3,44
3428-24-8,10
50-78-2,10
131-57-7,10
121-33-5,10
40487-42-1,0
2642-71-9,75
86-50-0,75
13593-03-8,75
119-12-0,75
3204-27-1,0
88-85-7,0
6448-95-9,0
79-94-7,21
6807-17-6,21
119-47-1,21
4130-42-1,21
260-94-6,76
91-22-5,76
119-65-3,76
877-43-0,76
119-93-7,7
119168-77-3,37
129558-76-5,37
129630-19-9,37
205-82-3,77
90-12-0,77
206-44-0,77
207-08-9,77
99685-96-8,77
193-39-5,77
581-42-0,77
582-16-1,77
86-73-7,77
120-12-7,77
91-57-6,77
575-41-7,77
2100-42-7,10
1982-69-0,10
2675-77-6,10
140-11-4,34
120-51-4,34
840-65-3,78
1861-32-1,78
120-61-6,78
131-11-3,78
120-95-6,21
27193-28-8,21
25013-16-5,21
140-66-9,21
80-46-6,21
178928-70-6,37
121-03-9,79
88-44-8,79
500-99-2,21
123-11-5,21
97-53-0,21
8065-48-3,20
3244-90-4,20
563-12-2,20
128606-48-4,20
121-75-5,20
3689-24-5,20
12122-67-7,80
12427-38-2,80
142-59-6,80
1214-39-7,81
525-79-1,81
121552-61-2,18
2104-64-5,0
311-45-5,0
36335-67-8,0
56-38-2,0
90-30-2,7
91-59-8,7
122-70-3,30
1929-73-3,30
29450-45-1,30
94-80-4,30
28631-35-8,30
1917-97-1,30
122008-85-9,30
98967-40-9,19
12264-18-5,2
150-39-0,2
22473-78-5,2
20824-56-0,2
140-01-2,2
140-72-7,82
123-03-5,82
95-84-1,25
95-55-6,25
591-27-5,25
92-88-6,21
620-92-8,21
99-96-7,21
28382-15-2,83
123-33-1,83
123-51-3,40
71-23-8,40
3452-97-9,40
124-48-1,84
67-66-3,84
75-25-2,84
124-65-2,85
75-60-5,85
96300-95-7,20
1241-94-7,20
78-42-2,20
26544-23-0,20
2528-36-1,20
29761-21-5,20
9006-42-2,80
52-51-7,86
126-11-4,86
14802-03-0,20
78-51-3,20
50957-96-5,20
8065-62-1,20
13194-48-4,20
78-79-5,87
126-98-7,87
50-29-3,44
90-13-1,44
75-35-4,88
127-18-4,88
