cluster,Score,Weight average Tanimoto,Tanimoto Median,substances,calcTime
136,7856.368265015601,0.5644821311608192,0.7431457431457432,1448,10.536932706832886
150,8070.90311829252,0.5958779860722484,0.75,1410,8.73693585395813
150,7503.995858329845,0.6026311048472329,0.7716049382716049,1337,8.028764724731445
161,7293.379638907432,0.6292034893265193,0.7764808526693077,1303,7.9156577587127686
164,7072.265762331694,0.6460319134569005,0.7830568124685771,1272,7.636072158813477
172,6844.62297708009,0.6501199403104155,0.7852269523284016,1262,7.445247173309326
172,6444.346206639793,0.6742605056876414,0.8,1196,7.039241552352905
169,5636.718175102976,0.6973874903756849,0.811760057690182,1146,6.608960151672363
173,5259.059599804064,0.7231555881909857,0.8205128205128205,1110,6.461828708648682
182,4930.024292338096,0.7333964516983474,0.83322832587015,1086,6.2551820278167725
185,4672.38244073321,0.7466411227513869,0.8333333333333334,1073,6.048654794692993
